"STATION","DATETIME_START","DATETIME_STOP","LATITUDE_START","LATITUDE_STOP","LONGITUDE_START","LONGITUDE_STOP","PROFONDEUR_START","PROFONDEUR_STOP","TOOL","METADATA","decimal_lat_start","decimal_lon_start","decimal_lat_stop","decimal_lon_stop"
"DW5521",2025-06-19 04:04:00,2025-06-19 04:16:00,"S 09 25.088","S 09 25.326","E 146 46.770","E 146 47.028","639.3","604.4","WarrenDredge","DW5521 (639.3 - 604.4 m)",-9.41813333333333,146.7795,-9.4221,146.7838
"DW5522",2025-06-19 05:07:00,2025-06-19 05:28:00,"S 09 24.948","S 09 25.389","E 146 47.093","E 146 47.521","661.9","580.5","WarrenDredge","DW5522 (661.9 - 580.5 m)",-9.4158,146.784883333333,-9.42315,146.792016666667
"CP5523",2025-06-19 06:30:00,2025-06-19 06:50:00,"S 09 25.235","S 09 25.639","E 146 46.994","E 146 47.409","606.2","594.2","BeamTrawl","CP5523 (606.2 - 594.2 m)",-9.42058333333333,146.783233333333,-9.42731666666667,146.79015
"DW5524",2025-06-19 21:37:00,2025-06-19 21:57:00,"S 09 12.280","S 09 12.678","E 146 32.409","E 146 32.768","744.1","726.4","WarrenDredge","DW5524 (744.1 - 726.4 m)",-9.20466666666667,146.54015,-9.2113,146.546133333333
"CP5525",2025-06-19 22:59:00,2025-06-19 23:17:00,"S 09 12.486","S 09 12.822","E 146 32.574","E 146 32.903","735.1","717.9","BeamTrawl","CP5525 (735.1 - 717.9 m)",-9.2081,146.5429,-9.2137,146.548383333333
"CP5526",2025-06-20 00:49:00,2025-06-20 01:20:00,"S 09 12.502","S 09 13.002","E 146 34.072","E 146 34.769","620.3","589.6","BeamTrawl","CP5526 (620.3 - 589.6 m)",-9.20836666666667,146.567866666667,-9.2167,146.579483333333
"DW5527",2025-06-20 03:24:00,2025-06-20 03:49:00,"S 09 12.096","S 09 12.641","E 146 35.095","E 146 35.557","502.8","490.8","WarrenDredge","DW5527 (502.8 - 490.8 m)",-9.2016,146.584916666667,-9.21068333333333,146.592616666667
"CP5528",2025-06-20 05:06:00,2025-06-20 05:06:00,"S 09 12.785","S 09 12.785","E 146 35.609","E 146 35.609","497","516","BeamTrawl","CP5528 (497 - 516 m)",-9.21308333333333,146.593483333333,-9.21308333333333,146.593483333333
"DW5529",2025-06-20 21:30:00,2025-06-20 21:59:00,"S 08 35.811","S 08 36.625","E 146 05.697","E 146 06.208","479.9","462","WarrenDredge","DW5529 (479.9 - 462 m)",-8.59685,146.09495,-8.61041666666667,146.103466666667
"CP5530",2025-06-20 22:55:00,2025-06-20 23:05:00,"S 08 35.833","S 08 36.095","E 146 05.728","E 146 05.846","468.7","446.7","BeamTrawl","CP5530 (468.7 - 446.7 m)",-8.59721666666667,146.095466666667,-8.60158333333333,146.097433333333
"CP5531",2025-06-21 00:04:00,2025-06-21 00:21:00,"S 08 36.181","S 08 36.671","E 146 05.241","E 146 05.180","563.7","581","BeamTrawl","CP5531 (563.7 - 581 m)",-8.60301666666667,146.08735,-8.61118333333333,146.086333333333
"CP5532",2025-06-21 02:53:00,2025-06-21 03:13:00,"S 08 36.268","S 08 37.003","E 146 04.741","E 146 04.787","633.8","643.2","BeamTrawl","CP5532 (633.8 - 643.2 m)",-8.60446666666667,146.079016666667,-8.61671666666667,146.079783333333
"CP5533",2025-06-21 04:31:00,2025-06-21 04:59:00,"S 08 36.377","S 08 37.391","E 146 04.330","E 146 04.281","673.2","692.4","BeamTrawl","CP5533 (673.2 - 692.4 m)",-8.60628333333333,146.072166666667,-8.62318333333333,146.07135
